1569023536643321856,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN",57,"Pokémon can get very dark… 
(video is up go look at it 👍) https://t.co/DV9aF1lpHN"
1568932370937516032,"Serebii Update: The Pokémon GO Deoxys Raid Day event is now starting to roll out in Europe &amp; Africa. Runs from 14:00 to 17:00 local time

Details @ https://t.co/XdNFGqCkGl https://t.co/gvftyLZtWd",175,"Serebii Update: The Pokémon GO Deoxys Raid Day event is now starting to roll out in Europe &amp; Africa. Runs from 14:00 to 17:00 local time

Details @ https://t.co/XdNFGqCkGl https://t.co/gvftyLZtWd"
1568751180943073280,"Serebii Update: The Pokémon GO Deoxys Raid Day event is now starting to roll out in Asia Pacific regions. Runs from 14:00 to 17:00 local time

Details @ https://t.co/XdNFGqCkGl https://t.co/5Z9NOqzRVo",176,"Serebii Update: The Pokémon GO Deoxys Raid Day event is now starting to roll out in Asia Pacific regions. Runs from 14:00 to 17:00 local time

Details @ https://t.co/XdNFGqCkGl https://t.co/5Z9NOqzRVo"
1569141903018414084,"Preorder the Pokemon GO Premier Deck Holder Collection (9/30) 

$37.99

Free Shipping at Smoke and Mirrors on orders over $150

https://t.co/zujQFzkl5E https://t.co/6Hb79AC9WP",151,"Preorder the Pokemon GO Premier Deck Holder Collection (9/30) 

$37.99

Free Shipping at Smoke and Mirrors on orders over $150

https://t.co/zujQFzkl5E https://t.co/6Hb79AC9WP"
1569141805907673088,I only wanna go to japan for pokemon shit idgaf bout anything there,67,I only wanna go to japan for pokemon shit idgaf bout anything there
1569141683803279367,"@PokemonGoApp Idk if you look at the comments but you should add mega Metagross, Mega Tyrannitar, Mega heracross, Mega Pinsir, Mega new two X and Y, mega sceptile, mega blaziken, mega swampert, mega gardevior, mega sableye, mega mawhile, mega medicham, mega sharpedo, and others to Pokémon go",292,"@PokemonGoApp Idk if you look at the comments but you should add mega Metagross, Mega Tyrannitar, Mega heracross, Mega Pinsir, Mega new two X and Y, mega sceptile, mega blaziken, mega swampert, mega gardevior, mega sableye, mega mawhile, mega medicham, mega sharpedo, and others to Pokémon go"
1569141520086798337,"Nice chill stream completed.  Gotta get ready for a long work week lol.  Meantime, I will have everything ready to rock n roll.  We go back to Pokemon Brilliant Diamond tomorrow night!!!

Be great tomorrow!!  Much love!!",220,"Nice chill stream completed.  Gotta get ready for a long work week lol.  Meantime, I will have everything ready to rock n roll.  We go back to Pokemon Brilliant Diamond tomorrow night!!!

Be great tomorrow!!  Much love!!"
1569141473068695561,Do u guys wanna see my Pokemon Go beach pics,44,Do u guys wanna see my Pokemon Go beach pics
1569141231464087556,"Literally went to the same places in NYC as Seventeen without even knowing it 😭

(Also yes those are from Pokémon Go lmao) https://t.co/ggd6PQyJ54",122,"Literally went to the same places in NYC as Seventeen without even knowing it 😭

(Also yes those are from Pokémon Go lmao) https://t.co/ggd6PQyJ54"
1569141000378916864,@GeekWithThat About to start Pokémon shield for the first time. Then go to bed 😂 ✌️,83,@GeekWithThat About to start Pokémon shield for the first time. Then go to bed 😂 ✌️
1569140882095456256,"@CCCollectibles_ Anyone use Pokemon Go Codes? These are from the Korean set, but I assume they should still work. https://t.co/iRpxfjeAoE",113,"@CCCollectibles_ Anyone use Pokemon Go Codes? These are from the Korean set, but I assume they should still work. https://t.co/iRpxfjeAoE"
1569140686569586689,"@AnonDrJenoPG @thetrainerclubb The Pokémon company also does things that matter. I use Pokémon go to also relax from my job as a teacher, which I would argue also matters but I need rest and rejuvenation that playing a game gives me in order to be the best teacher I can be",273,"@AnonDrJenoPG @thetrainerclubb The Pokémon company also does things that matter. I use Pokémon go to also relax from my job as a teacher, which I would argue also matters but I need rest and rejuvenation that playing a game gives me in order to be the best teacher I can be"
1569139691538219010,"@Aidan_Wolf @BeatSaber @PuzzlingPlaces @tiltbrush @tribe_vr I get that, but in this case the overlay is a series of digital objects that play beautifully together - in Pokémon go the overlay was a totally disposable, clunky thing with clunky UX.

It was optional spice, not the meal.",283,"@Aidan_Wolf @BeatSaber @PuzzlingPlaces @tiltbrush @tribe_vr I get that, but in this case the overlay is a series of digital objects that play beautifully together - in Pokémon go the overlay was a totally disposable, clunky thing with clunky UX.

It was optional spice, not the meal."
1569139426479190016,I wanna play Pokémon go but I’m not going anywhere,50,I wanna play Pokémon go but I’m not going anywhere
1569139411836862465,@HenryFelisberto @Mootmonthly But the whole point of the game is battling and catching Pokémon. It’s kinda cute my Pokémon can go venture off on their own but like… that takes away from raising them. SWSH had zero grinding. Super easy level up,243,@HenryFelisberto @Mootmonthly But the whole point of the game is battling and catching Pokémon. It’s kinda cute my Pokémon can go venture off on their own but like… that takes away from raising them. SWSH had zero grinding. Super easy level up
1569139209276997638,@HighleyGinger @Baronduki You send me gifts all the time and even let me know to use a lucky egg before we hit 3 star friends. Top tier Pokemon go'er,149,@HighleyGinger @Baronduki You send me gifts all the time and even let me know to use a lucky egg before we hit 3 star friends. Top tier Pokemon go'er
1569139207838507008,Niantic absolutely despises disabled people and they shout it out with every update of Pokemon Go.,98,Niantic absolutely despises disabled people and they shout it out with every update of Pokemon Go.
1569139072907546624,@leolionzez my phone busted atm but i was playing pokemon go on it,66,@leolionzez my phone busted atm but i was playing pokemon go on it
1569139049377533953,"Bro really got 30 phones playing Pokémon Go on his bike , Mofucka tryna catch 'em all foreal https://t.co/PMfjzI4mtt",92,"Bro really got 30 phones playing Pokémon Go on his bike , Mofucka tryna catch 'em all foreal https://t.co/PMfjzI4mtt"
1569138902748864513,////Random question does anyone still play Pokemon Go? ❄️🔥👀,59,////Random question does anyone still play Pokemon Go? ❄️🔥👀
1569138902660952065,Does anybody still play Pokémon Go lol,38,Does anybody still play Pokémon Go lol
1569138471758872577,If attempt number seven isn’t the attempt on my Pokémon Platinum nuzlocke I might go insane,91,If attempt number seven isn’t the attempt on my Pokémon Platinum nuzlocke I might go insane
1569138465308286976,Can someone deliver me a Jarritos tamarindo. We can go through my Pokémon binder and I can give you any commons you’d like,122,Can someone deliver me a Jarritos tamarindo. We can go through my Pokémon binder and I can give you any commons you’d like
1569138413156065282,Hey go check out Real_JayC now streaming Pokémon Crystal https://t.co/epfgkGqDfn  #Chaotic #CS https://t.co/9VfXyx0o3t,94,Hey go check out Real_JayC now streaming Pokémon Crystal https://t.co/epfgkGqDfn  #Chaotic #CS https://t.co/9VfXyx0o3t
1569138327156137988,im about to go get a happy meal what pokemon toy do you think im gonna get,74,im about to go get a happy meal what pokemon toy do you think im gonna get
1569138317710483457,I wish I had more friends who play Pokémon go just because Robert and I play it literally every day (shared account) and the majority of our “friends” are random strangers I’ve added from halfway around the world,212,I wish I had more friends who play Pokémon go just because Robert and I play it literally every day (shared account) and the majority of our “friends” are random strangers I’ve added from halfway around the world
1569138232499257344,I’m new to the Pokémon Go community but here’s my daily incense https://t.co/rUefAL61it,63,I’m new to the Pokémon Go community but here’s my daily incense https://t.co/rUefAL61it
1569137872871239680,Marvel is getting an AR game from the makers of Pokémon Go https://t.co/AXyp3jFiLw via @flipboard,97,Marvel is getting an AR game from the makers of Pokémon Go https://t.co/AXyp3jFiLw via @flipboard
