1568958995968233473,@KOI rainbow six y rocket league,32,@KOI rainbow six y rocket league
1568404042690297860,"Coming in hot 🔥

Please give a warm welcome to @Fever_RL, the newest member of our Rocket League roster for the upcoming RLCS season!

#PWRUP https://t.co/N8N7KIowcH",141,"Coming in hot 🔥

Please give a warm welcome to @Fever_RL, the newest member of our Rocket League roster for the upcoming RLCS season!

#PWRUP https://t.co/N8N7KIowcH"
1568705757838802945,SSG Rocket League is looking for a substitute for the next RLCS Season. Please DM me if interested.,99,SSG Rocket League is looking for a substitute for the next RLCS Season. Please DM me if interested.
1569080050007392256,"#Pack9 legend Evan Edwards doubles, scores for Montgomery 5-0 lead in the 4th vs Rocket City. @Evan_Edwards16 &amp; division-leading Biscuits clinch Southern League playoff spot with win today",192,"#Pack9 legend Evan Edwards doubles, scores for Montgomery 5-0 lead in the 4th vs Rocket City. @Evan_Edwards16 &amp; division-leading Biscuits clinch Southern League playoff spot with win today"
1569079530647654403,Man rocket league players. https://t.co/jW9wCDQ91L,26,Man rocket league players. https://t.co/jW9wCDQ91L
1569079027264065536,"@METAPCs Oh that depends on the game, but I have my duos. 
@LunaTheCleric for Fortnite
@TURKENTOOT for Valorant
@TobiThePious for most of my horror games
@Lancery19XX for Rocket League
My brother in law for CoD and Battlefield",226,"@METAPCs Oh that depends on the game, but I have my duos. 
@LunaTheCleric for Fortnite
@TURKENTOOT for Valorant
@TobiThePious for most of my horror games
@Lancery19XX for Rocket League
My brother in law for CoD and Battlefield"
1569078818522144768,"Every Sunday we do rocket league montage reaction videos and we find some crazy content creators that have been hidden in the cracks
 https://t.co/twmAIkLIAY",157,"Every Sunday we do rocket league montage reaction videos and we find some crazy content creators that have been hidden in the cracks
 https://t.co/twmAIkLIAY"
1569078115120316416,@KOI Rocket League. https://t.co/dzhS3WJPLF,19,@KOI Rocket League. https://t.co/dzhS3WJPLF
1569077661019906058,@ViscaBusquets Pisca download rocket league I wanna see your turtle tactics,75,@ViscaBusquets Pisca download rocket league I wanna see your turtle tactics
1569077613171195905,21y Rocket League player ~ GC2~ in contract for Eclipsar Industries🐝,68,21y Rocket League player ~ GC2~ in contract for Eclipsar Industries🐝
1569076850424688641,@Caspersight @TheGamesWePlay3 He's probably a Rocket League player,66,@Caspersight @TheGamesWePlay3 He's probably a Rocket League player
